Port;TCP;UDP;Description
0;Reserved;Reserved;In programming APIs (not in communication between hosts), requests a system-allocated (dynamic) port
1;Yes;Assigned;TCP Port Service Multiplexer (TCPMUX). Historic. Both TCP and UDP have been assigned to TCPMUX by IANA, but by design only TCP is specified
2;Assigned;Assigned;compressnet (Management Utility)
3;Assigned;Assigned;compressnet (Compression Process)
5;Assigned;Assigned;Remote Job Entry was historically using socket 5 in its old socket form, while MIB PIM has identified it as TCP/5 and IANA has assigned both TCP and UDP 5 to it.
7;Yes;Yes;Echo Protocol
9;Yes;Yes;Discard Protocol / Wake-on-LAN
11;Yes;Yes;Active Users (systat service)
13;Yes;Yes;Daytime Protocol
15;Unofficial;No;Previously netstat service
17;Yes;Yes;Quote of the Day (QOTD)
18;Yes;Yes;Message Send Protocol
19;Yes;Yes;Character Generator Protocol (CHARGEN)
20;Yes;Assigned;File Transfer Protocol (FTP) data transfer
21;Yes;Assigned;File Transfer Protocol (FTP) control (command)
22;Yes;Assigned;Secure Shell (SSH), secure logins, file transfers (scp, sftp) and port forwarding
23;Yes;Assigned;Telnet protocol unencrypted text communications
25;Yes;Assigned;Simple Mail Transfer Protocol (SMTP), used for email routing between mail servers
27;Assigned;Assigned;nsw-fe (NSW User System FE)
28;Unofficial;Unofficial;Palo Alto Networks' Panorama High Availability (HA) sync encrypted port.
29;Assigned;Assigned;msg-icp (MSG ICP)
31;Assigned;Assigned;msg-auth (MSG Authentication)
33;Assigned;Assigned;dsp (Display Support Protocol)
37;Yes;Yes;Time Protocol
38;Assigned;Assigned;rap (Route Access Protocol)
39;Assigned;Assigned;rlp (Resource Location Protocol)
41;Assigned;Assigned;graphics (Graphics)
42;Assigned;Yes;Host Name Server Protocol
43;Yes;Assigned;WHOIS protocol
44;Assigned;Assigned;mpm-flags (MPM FLAGS Protocol)
45;Assigned;Assigned;mpm (Message Processing Module [recv])
46;Assigned;Assigned;mpm-snd (MPM [default send])
47;Reserved;Reserved;
48;Assigned;Assigned;auditd (Digital Audit Daemon)
49;Yes;Yes;TACACS Login Host protocol. TACACS+, still in draft which is an improved but distinct version of TACACS, only uses TCP 49.
50;Assigned;Assigned;re-mail-ck (Remote Mail Checking Protocol)
51;Reserved;Reserved;Historically used for Interface Message Processor logical address management, entry has been removed by IANA on 2013-05-25
52;Assigned;Assigned;Xerox Network Systems (XNS) Time Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.
53;Yes;Yes;Domain Name System (DNS)
54;Assigned;Assigned;Xerox Network Systems (XNS) Clearinghouse (Name Server). Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.
55;Assigned;Assigned;isi-gl (ISI Graphics Language)
56;Assigned;Assigned;Xerox Network Systems (XNS) Authentication Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.
58;Assigned;Assigned;Xerox Network Systems (XNS) Mail. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.
61;Reserved;Reserved;Historically assigned to the NIFTP-Based Mail protocol, but was never documented in the related IEN. The port number entry was removed from IANA's registry on 2017-05-18.
62;Assigned;Assigned;acas (ACA Services)
63;Assigned;Assigned;whoispp (whois++)
64;Assigned;Assigned;covia (Communications Integrator (CI))
65;Assigned;Assigned;tacacs-ds (TACACS-Database Service)
66;Assigned;Assigned;sql-net (Oracle SQL*NET)
67;Assigned;Yes;Bootstrap Protocol (BOOTP) server
68;Assigned;Yes;Bootstrap Protocol (BOOTP) client
69;Assigned;Yes;Trivial File Transfer Protocol (TFTP)
70;Yes;Assigned;Gopher protocol
71;Yes;Yes;NETRJS protocol
72;Yes;Yes;NETRJS protocol
73;Yes;Yes;NETRJS protocol
74;Yes;Yes;NETRJS protocol
76;Assigned;Assigned;deos (Distributed External Object Store)
78;Assigned;Assigned;vettcp (vettcp)
79;Yes;Assigned;Finger protocol
80;Yes;Yes;Hypertext Transfer Protocol (HTTP) uses TCP in versions 1.x and 2. HTTP/3 uses QUIC, a transport protocol on top of UDP.
81;Unofficial;Unofficial;TorPark onion routing
82;Assigned;Assigned;xfer (XFER Utility)
82;Unofficial;Unofficial;TorPark control
83;Assigned;Assigned;mit-ml-dev (MIT ML Device)
84;Assigned;Assigned;ctf (Common Trace Facility)
85;Assigned;Assigned;mit-ml-dev (MIT ML Device)
86;Assigned;Assigned;mfcobol (Micro Focus Cobol)
88;Yes;Yes;Kerberos authentication system
89;Assigned;Assigned;su-mit-tg (SU/MIT Telnet Gateway)
90;Assigned;Assigned;dnsix (DNSIX Security Attribute Token Map)
90;Unofficial;Unofficial;PointCast (dotcom)
91;Assigned;Assigned;mit-dov (MIT Dover Spooler)
92;Assigned;Assigned;npp (Network Printing Protocol)
93;Assigned;Assigned;dcp (Device Control Protocol)
94;Assigned;Assigned;objcall (Tivoli Object Dispatcher)
95;Yes;Assigned;SUPDUP, terminal-independent remote login
96;Assigned;Assigned;dixie (DIXIE Protocol Specification)
97;Assigned;Assigned;swift-rvf (Swift Remote Virtual File Protocol)
98;Assigned;Assigned;tacnews (TAC News)
99;Assigned;Assigned;metagram (Metagram Relay)
101;Yes;Assigned;NIC host name
102;Yes;Assigned;ISO Transport Service Access Point (TSAP) Class 0 protocol
104;Yes;Yes;Digital Imaging and Communications in Medicine (DICOM
105;Yes;Yes;CCSO Nameserver
106;Unofficial;No;macOS Server, (macOS) password server
107;Yes;Yes;Remote User Telnet Service (RTelnet)
108;Yes;Yes;IBM Systems Network Architecture (SNA) gateway access server
109;Yes;Assigned;Post Office Protocol, version 2 (POP2)
110;Yes;Assigned;Post Office Protocol, version 3 (POP3)
111;Yes;Yes;Open Network Computing Remote Procedure Call (ONC RPC, sometimes referred to as Sun RPC)
113;Yes;No;Ident, authentication service/identification protocol, used by IRC servers to identify users / Authentication Service (auth), the predecessor to identification protocol. Used to determine a user's identity of a particular TCP connection.
115;Yes;Assigned;Simple File Transfer Protocol
117;Yes;Yes;UUCP Mapping Project (path service)
118;Yes;Yes;Structured Query Language (SQL) Services
119;Yes;Assigned;Network News Transfer Protocol (NNTP), retrieval of newsgroup messages
123;Assigned;Yes;Network Time Protocol (NTP), used for time synchronization
126;Yes;Yes;Formerly Unisys Unitary Login, renamed by Unisys to NXEdit. Used by Unisys Programmer's Workbench for Clearpath MCP, an IDE for Unisys MCP software development
135;Yes;Yes;DCE endpoint resolution / Microsoft EPMAP (End Point Mapper), also known as DCE/RPC Locator service, used to remotely manage services including DHCP server, DNS server and WINS. Also used by DCOM
137;Yes;Yes;NetBIOS Name Service, used for name registration and resolution
138;Assigned;Yes;NetBIOS Datagram Service
139;Yes;Assigned;NetBIOS Session Service
143;Yes;Assigned;Internet Message Access Protocol (IMAP), management of electronic mail messages on a server
151;Assigned;Assigned;HEMS
152;Yes;Yes;Background File Transfer Program (BFTP)
153;Yes;Yes;Simple Gateway Monitoring Protocol (SGMP), a protocol for remote inspection and alteration of gateway management information
156;Yes;Yes;Structured Query Language (SQL) Service
158;Yes;Yes;Distributed Mail System Protocol (DMSP, sometimes referred to as Pcmail)
161;Assigned;Yes;Simple Network Management Protocol (SNMP)
162;Yes;Yes;Simple Network Management Protocol Trap (SNMPTRAP)
165;Assigned;Assigned;Xerox
169;Assigned;Assigned;SEND
170;Yes;Yes;Network PostScript print server
177;Yes;Yes;X Display Manager Control Protocol (XDMCP), used for remote logins to an X Display Manager server
179;Yes;Assigned;Border Gateway Protocol (BGP), used to exchange routing and reachability information among autonomous systems (AS) on the Internet
180;Assigned;Assigned;ris
194;Yes;Yes;Internet Relay Chat (IRC)
199;Yes;Yes;SNMP Unix Multiplexer (SMUX)
201;Yes;Yes;AppleTalk Routing Maintenance
209;Yes;Assigned;Quick Mail Transfer Protocol
210;Yes;Yes;ANSI Z39.50
213;Yes;Yes;Internetwork Packet Exchange (IPX)
